Rank,Method,mAP,APCar,APPedestrian,APCyclist
0,Sparse-to-Dense,48.4329,62.2655,29.9383,53.0948
1,test_bl_0,47.7805,60.3085,29.9383,53.0948
2,pointpillars_final,46.3159,58.9131,27.9603,52.0743
3,baseline_v1,46.2813,58.9131,27.8564,52.0743
4,pp_base,45.0132,54.9886,25.8748,54.1761
5,test_baseline_0,44.9187,58.5986,26.5631,49.5942
6,test_pp2,44.5207,54.9886,24.3973,54.1761
7,test_bl_2,42.0927,52.1209,26.0545,48.1026
8,Alpha,41.3724,52.0389,26.0545,46.0238
9,method,41.1959,51.8085,25.7451,46.034
10,test_a,40.0065,51.0663,21.4593,47.4939
11,test_bl_1,39.8695,51.6337,22.4296,45.5451
12,baseline,39.6124,49.7957,20.9865,48.0549
13,test_pp,39.0436,48.6183,21.0185,47.4939
14,cnnseg,37.739,61.2888,11.241,40.6872
15,test_1,37.6825,47.9475,21.0037,44.0964
16,baseline_6,32.1596,50.7509,4.2939,41.4341
17,3D-v2,24.5321,34.9834,9.0077,29.6053
18,cnnseg_db,24.0343,47.102,2.7162,22.2848
19,pillar_baseline,23.6185,39.4637,3.9439,27.448
20,LcStGamma01,19.8539,30.5497,9.0909,19.9211
21,pillars_baseline,18.946,27.1327,9.0909,20.6145
22,pillars_baselinr,18.9454,27.1307,9.0909,20.6145
23,test_ca,17.0221,51.0663,0,0
24,test_cy,16.5097,0,0,49.5292
25,AItest,16.3527,24.7227,9.0909,15.2445
26,second_v0.1,14.6025,21.3751,1.4607,20.9717
27,custom voxelnet,10.2136,14.7938,0.3048,15.5422
28,Arkansas_AI_Campus,10.2136,14.7938,0.3048,15.5422
29,test_p,8.9164,0,26.7491,0
30,random,4.8256,14.4768,0,0
31,PillarNet,3.0321,7.7932,0.5035,0.7997
32,sfa3d_test_1_8,0,0,0,0
33,sfa3d_test_5,0,0,0,0
34,sfa3d_test_6,0,0,0,0