Rank,Method,Mean Iou
1,Simple_train,0.4663
2,Simple_test,0.4663
3,Codes-for-IntRA-KD,0.4662
4,Simple_baseline,0.4652
5,chary_noflip,0.457
6,chary_flip_1080,0.4569
7,test,0.4549
8,test1224,0.4522
9,exp10_test_ms,0.4515
10,chary_noflip_1080,0.451
11,test1224_2,0.4502
12,exp09_test_flip_ms,0.4474
13,ERFNet,0.4469
14,Se-ERFNet,0.4469
15,test_1228_2,0.4422
16,Att-ERFNet,0.4417
17,chary_v10,0.4367
18,cnn,0.4367
19,AP-ERFNet,0.4357
20,Attd-ERFNet,0.4357
21,test model,0.4351
22,Paddle_Seg,0.4315
23,test020304_ms_exp04,0.4286
24,test0203_ms_exp05,0.4286
25,test020304_ms_exp06,0.4286
26,test_ms_exp05,0.4286
27,test_ms_exp06,0.4286
28,test_ms_exp07,0.4286
29,test_ms_exp08,0.4286
30,exp05_test_ms,0.4286
31,exp06_test_ms,0.4286
32,exp07_test_ms,0.4286
33,exp08_test_ms,0.4286
34,test0203_exp05_ms,0.4286
35,test0203_exp07_ms,0.4286
36,test020304_exp06_ms,0.4286
37,test020304_exp08_ms,0.4286
38,exp12_test_ms,0.4286
39,exp12_TEST_ms,0.4286
40,test020304_ms_exp02,0.4262
41,test_1228,0.4226
42,exp10_test,0.4224
43,test020304_ms_flip,0.4195
44,deeplabv3p_lovasz_ce_ms,0.4187
45,test020304_ms,0.4181
46,test020304_exp02,0.4129
47,test322,0.4117
48,exp14_test_ms,0.4101
49,test020304_ori_ms_exp02,0.4049
50,test020304,0.4021
51,test020304_exp04,0.4006
52,test0203_exp05,0.4006
53,test020304_exp06,0.4006
54,test_exp06,0.4006
55,test_exp07,0.4006
56,test_exp08,0.4006
57,exp05_test,0.4006
58,exp06_test,0.4006
59,exp07_test,0.4006
60,exp08_test,0.4006
61,test0203_exp07,0.4006
62,test020304_exp08,0.4006
63,resent38_downsample_9x_upsampling_nearest,0.4001
64,Resnet38_Baseline,0.4001
65,test111,0.3992
66,"Xie Tao, Zhang Hongyu",0.3985
67,test329,0.3981
68,exp09_test_flip,0.3969
69,exp13_test_ms,0.3937
70,exp13_test,0.3762
71,deeplabv3p_lovasz_ce,0.3755
72,exp14_test,0.3748
73,deeplabv3p_ce_ms,0.3697
74,exp09_test_ms,0.3697
75,exp11_test_ms,0.3697
76,test121,0.3676
77,lovasz_hrnet_ocr_ms,0.367
78,test020304_ms_flip_exp02,0.3666
79,SML+CBTS,0.366
80,modified ERFNet w480 h160,0.363
81,exp12_test,0.3626
82,exp12_TEST,0.3626
83,deeplabv3p_ce_ss,0.3578
84,deeplabv3p_lovasz_ms,0.3526
85,test124,0.3525
86,exp09_test,0.3208
87,exp11_test,0.3208
88,test03,0.3201
89,test04,0.3192
90,lovasz_hrnet_ocr,0.3144
91,test0203_ms,0.3087
92,test0203_ms_exp03,0.3077
93,test0203_ms_noflip,0.3076
94,deeplabv3p_lovasz,0.3036
95,test0203,0.2976
96,test0203_ms_exp02,0.2926
97,test0203_exp02,0.2909
98,test0203_exp03,0.2697
99,test_exp05,0.2697
100,baseline,0.2659
101,hrnet_ocr_multiscale,0.2639
102,test020304_oriscale_exp02,0.2594
103,test0203_ms_flip,0.2501
104,test331,0.2451
105,test267,0.2231
106,ITL_HO,0.1819
107,ITL_HO_4063_nearest,0.1777
108,zxagan,0.1607
109,zxagan_2,0.0968
110,Zxagan,0.0968
111,hrnet+ocr,0.0552
112,intra-kd,0.0397